# 23:24 (xy)
0,1,2
0,10,6
0,12,4
0,19,1
1,0,3
1,2,3
1,6,2
4,0,6
4,10,8
4,12,4
4,21,3
5,3,1
5,5,5
5,9,4
5,23,1
6,11,2
6,21,5
7,0,5
7,5,8
7,8,2
7,10,3
7,14,2
7,20,1
8,6,4
8,9,7
8,15,3
8,21,4
9,2,1
9,4,3
9,8,1
9,23,2
10,6,2
10,11,1
10,17,2
11,5,3
11,8,2
11,12,2
11,15,4
11,21,4
13,1,3
13,4,6
13,9,4
13,13,3
13,15,5
15,1,3
15,4,4
15,6,1
15,23,3
16,0,4
16,9,5
16,15,2
17,1,2
17,5,4
17,10,1
17,14,2
17,17,4
17,21,5
17,23,5
19,0,6
19,3,3
19,5,5
19,9,7
19,13,3
19,15,2
20,11,1
20,17,3
21,0,4
21,2,4
21,4,2
21,21,1
22,1,1
22,9,5
22,12,4
22,17,5
22,20,4
22,23,4
